One,402,0.0024875622,51.65,249.4204359217,94.2256682971,8.388771059,57400
Two,402,0.0074626866,51.64,249.4204359217,94.2256682971,8.388771059,57400
Three,402.5,0.001242236,51.63,249.4204359217,94.2256682971,8.388771059,57400
Four,404.5,0.0185414091,51.65,249.4204359217,94.2256682971,8.388771059,57400
Five,403,0.0024813896,51.63,249.4204359217,94.2256682971,8.388771059,57400
Six,402.5,0.0062111801,51.64,249.4204359217,94.2256682971,8.388771059,57400
Seven,403,0.0024813896,51.64,249.4204359217,94.2256682971,8.388771059,57400
Eigth,402.5,0.0111801242,51.64,249.4204359217,94.2256682971,8.388771059,57400
Nine,402.5,0.0086956522,51.64,249.4204359217,94.2256682971,8.388771059,57400
Ten,35106.5,0.9892327632,24.47,249.4204359217,94.2256682971,8.388771059,57400
Eleven,35259.5,0.9890809569,24.52,249.4204359217,94.2256682971,8.388771059,57400
Twelve,402.5,0.0086956522,51.64,249.4204359217,94.2256682971,8.388771059,57400
Thirteen,17826.5,0.9934928337,20.58,249.4204359217,94.2256682971,8.388771059,57400
Fourteen_9,35749,0.0029651179,0.05,249.4204359217,94.2256682971,8.388771059,57400
Fifteen,17987,0.9839884361,4.03,249.4204359217,94.2256682971,8.388771059,57400
Sixteen,18035,0.9850845578,4.06,249.4204359217,94.2256682971,8.388771059,57400
Seventeen,35787,2.79431078324531E-05,0.06,249.4204359217,94.2256682971,8.388771059,57400
Eigthteen,35787,8.38293234973594E-05,0.06,249.4204359217,94.2256682971,8.388771059,57400
Nineteen,155.5,0.0546623794,42.76,249.4204359217,94.2256682971,8.388771059,57400
Twenty,384.5,0.0091027308,42.78,249.4204359217,94.2256682971,8.388771059,57400
SOYUZ_MS-04,405,0.0098765432,51.64,249.4204359217,94.2256682971,8.388771059,57400
CYGNUS_OA-7,405,0.0098765432,51.64,249.4204359217,94.2256682971,8.388771059,57400
GAOFEN_3_DEB,754,0.0185676393,98.37,249.4204359217,94.2256682971,8.388771059,57400
GAOFEN_3_DEB,742,0.0067385445,98.42,249.4204359217,94.2256682971,8.388771059,57400
GAOFEN_3_DEB,741,0.008097166,98.41,249.4204359217,94.2256682971,8.388771059,57400
YAOGAN_30_DEB,822.5,0.2267477204,97.93,249.4204359217,94.2256682971,8.388771059,57400
YAOGAN_30_DEB,819,0.2271062271,98.07,249.4204359217,94.2256682971,8.388771059,57400
ASTRO_H_DEB,557.5,0.0062780269,31.01,249.4204359217,94.2256682971,8.388771059,57400
ASTRO_H_DEB,554,0.0108303249,31.01,249.4204359217,94.2256682971,8.388771059,57400
YAOGAN_29_DEB,614.5,0.0056956876,97.9,249.4204359217,94.2256682971,8.388771059,57400
CZ-4C_DEB,700.5,0.164882227,97.96,249.4204359217,94.2256682971,8.388771059,57400
CZ-4C_DEB,712,0.1629213483,97.89,249.4204359217,94.2256682971,8.388771059,57400
